entry_time,exit_time,entry_price,exit_price,quantity,pnl,pnl_pct,duration_days
2015-04-21,2015-04-23,192.9502536147935,189.14,1041,-3966.4740130000437,-1.9747336649789116,2
2015-05-11,2015-05-18,191.6001670817356,188.58,991,-2992.985577999973,-1.576286246372216,7
2015-06-17,2015-07-28,193.44037292783503,190.28,970,-3065.5617399999765,-1.6337711099295937,41
2015-08-10,2016-01-13,194.09048808108108,217.08,925,21265.298525000017,11.844739093713397,156
2016-02-04,2016-09-26,220.90310840816326,265.05,980,43263.95376000001,19.984730821562913,235
2016-11-04,2016-11-14,271.5080392655971,259.82,1122,-13113.980055999975,-4.304859368883562,10
2016-11-22,2016-12-15,267.4477016928983,263.96,1042,-3634.1851640000564,-1.3040686724252182,23
2017-03-31,2017-06-28,251.69608107678246,260.44,1094,9565.847301999984,3.47399883455084,89
2017-07-06,2017-08-02,272.7281916589862,260.68,1085,-13072.287950000009,-4.417655390041597,27
2017-08-30,2017-09-15,268.7978740089731,258.5,1003,-10328.76763100003,-3.8310846196013215,16
2017-10-03,2017-10-10,267.2078002510823,262.48,924,-4368.487432000019,-1.7693346701106005,7
2017-11-03,2017-11-07,261.73728458574607,262.23,898,442.45844200004774,0.18824808052615438,4
2017-12-11,2018-10-12,269.6080569010989,399.66,910,118347.26822000001,48.23740973980182,305
2018-10-16,2018-10-23,406.9715440638298,394.76,1175,-14348.564275000039,-3.0005891669700024,7
2018-11-05,2019-08-01,415.2324355902841,566.71,1091,165262.02277100005,36.480185897418906,269
2019-08-13,2019-08-26,580.8888259420505,565.08,1346,-21278.67971799994,-2.721489076057315,13
2019-09-10,2020-03-09,583.3091148894155,622.26,1266,49311.820550000004,6.677571825355222,181
2020-04-27,2021-01-11,642.9150483587786,886.12,1310,318598.4866500001,37.82847395811786,259
2021-03-19,2021-11-10,865.0270867682276,1180.95,1687,532961.9546220001,36.52173649406423,236
2022-02-15,2022-05-18,1141.6546032362985,1166.36,2226,54994.21319599932,2.163999224780233,92
2022-05-19,2022-05-20,1167.9472268526408,1139.77,2253,-63483.29209899982,-2.4125428105662095,1
2022-06-03,2022-09-23,1169.0773609000464,1259.68,2151,194886.2767040003,7.749926748235092,112
2022-10-24,2022-11-17,1306.9311318752823,1234.89,2213,-159427.02483999947,-5.512236270010051,24
2022-12-12,2023-01-02,1290.659553,1241.6,2000,-98119.1060000001,-3.8011226807229237,21
2023-03-03,2023-04-07,1288.4293656186396,1251.34,1867,-69245.84561000032,-2.8786495098884424,35
2023-04-20,2023-09-21,1302.5208193830529,1312.47,1723,17142.438202999958,0.7638404291809842,154
2023-10-18,2024-02-01,1340.5046273187718,1507.97,1694,283686.34132200066,12.492711272186074,106
2024-02-09,2024-02-19,1567.8773220550054,1521.84,1818,-83695.85149599993,-2.9362834328558796,10
2024-04-16,2024-05-29,1495.0900511030643,1471.9,1795,-41626.14173000025,-1.5510805577199083,43
2024-06-05,2024-11-04,1526.7532383689995,1680.42,1729,265689.83086,10.06493765784704,152
2024-11-19,2024-12-30,1739.7345087915976,1666.61,1809,-132282.23640400023,-4.2031993055302035,41
